GEO_ID,NAME,S1701_C02_001E
47001,"Anderson County, Tennessee",12022
47003,"Bedford County, Tennessee",7420
47005,"Benton County, Tennessee",3403
47007,"Bledsoe County, Tennessee",2721
47009,"Blount County, Tennessee",14808
47011,"Bradley County, Tennessee",16715
47013,"Campbell County, Tennessee",7660
47015,"Cannon County, Tennessee",2194
47017,"Carroll County, Tennessee",5358
47019,"Carter County, Tennessee",12841
47021,"Cheatham County, Tennessee",4516
47023,"Chester County, Tennessee",2951
47025,"Claiborne County, Tennessee",7168
47027,"Clay County, Tennessee",2026
47029,"Cocke County, Tennessee",8700
47031,"Coffee County, Tennessee",7624
47033,"Crockett County, Tennessee",2745
47035,"Cumberland County, Tennessee",8782
47037,"Davidson County, Tennessee",108515
47039,"Decatur County, Tennessee",2228
47041,"DeKalb County, Tennessee",3364
47043,"Dickson County, Tennessee",7333
47045,"Dyer County, Tennessee",6806
47047,"Fayette County, Tennessee",5449
47049,"Fentress County, Tennessee",3855
47051,"Franklin County, Tennessee",5841
47053,"Gibson County, Tennessee",8201
47055,"Giles County, Tennessee",4162
47057,"Grainger County, Tennessee",4210
47059,"Greene County, Tennessee",11299
47061,"Grundy County, Tennessee",3184
47063,"Hamblen County, Tennessee",12129
47065,"Hamilton County, Tennessee",47360
47067,"Hancock County, Tennessee",1647
47069,"Hardeman County, Tennessee",4521
47071,"Hardin County, Tennessee",5191
47073,"Hawkins County, Tennessee",10543
47075,"Haywood County, Tennessee",3445
47077,"Henderson County, Tennessee",5331
47079,"Henry County, Tennessee",6290
47081,"Hickman County, Tennessee",4160
47083,"Houston County, Tennessee",1266
47085,"Humphreys County, Tennessee",3230
47087,"Jackson County, Tennessee",2241
47089,"Jefferson County, Tennessee",7169
47091,"Johnson County, Tennessee",3713
47093,"Knox County, Tennessee",67732
47095,"Lake County, Tennessee",1268
47097,"Lauderdale County, Tennessee",5242
47099,"Lawrence County, Tennessee",8029
47101,"Lewis County, Tennessee",2385
47103,"Lincoln County, Tennessee",5280
47105,"Loudon County, Tennessee",6105
47107,"McMinn County, Tennessee",10077
47109,"McNairy County, Tennessee",5280
47111,"Macon County, Tennessee",4119
47113,"Madison County, Tennessee",18238
47115,"Marion County, Tennessee",5084
47117,"Marshall County, Tennessee",4661
47119,"Maury County, Tennessee",10986
47121,"Meigs County, Tennessee",1980
47123,"Monroe County, Tennessee",8650
47125,"Montgomery County, Tennessee",26016
47127,"Moore County, Tennessee",492
47129,"Morgan County, Tennessee",4093
47131,"Obion County, Tennessee",6814
47133,"Overton County, Tennessee",3687
47135,"Perry County, Tennessee",2347
47137,"Pickett County, Tennessee",862
47139,"Polk County, Tennessee",2709
47141,"Putnam County, Tennessee",14310
47143,"Rhea County, Tennessee",6901
47145,"Roane County, Tennessee",7838
47147,"Robertson County, Tennessee",7923
47149,"Rutherford County, Tennessee",35604
47151,"Scott County, Tennessee",4799
47153,"Sequatchie County, Tennessee",2410
47155,"Sevier County, Tennessee",14281
47157,"Shelby County, Tennessee",189641
47159,"Smith County, Tennessee",2858
47161,"Stewart County, Tennessee",2159
47163,"Sullivan County, Tennessee",25670
47165,"Sumner County, Tennessee",16833
47167,"Tipton County, Tennessee",8432
47169,"Trousdale County, Tennessee",1458
47171,"Unicoi County, Tennessee",3653
47173,"Union County, Tennessee",4096
47175,"Van Buren County, Tennessee",1060
47177,"Warren County, Tennessee",9103
47179,"Washington County, Tennessee",19210
47181,"Wayne County, Tennessee",2853
47183,"Weakley County, Tennessee",6253
47185,"White County, Tennessee",4542
47187,"Williamson County, Tennessee",9474
47189,"Wilson County, Tennessee",10674