GEO_ID,NAME,indiv. In pov. ,percent in pov. 
47001,"Anderson County, Tennessee",12022,16.2
47003,"Bedford County, Tennessee",7420,15.8
47005,"Benton County, Tennessee",3403,21.4
47007,"Bledsoe County, Tennessee",2721,20.3
47009,"Blount County, Tennessee",14808,11.7
47011,"Bradley County, Tennessee",16715,16.6
47013,"Campbell County, Tennessee",7660,19.7
47015,"Cannon County, Tennessee",2194,15.9
47017,"Carroll County, Tennessee",5358,19.8
47019,"Carter County, Tennessee",12841,23.5
47021,"Cheatham County, Tennessee",4516,11.5
47023,"Chester County, Tennessee",2951,18.5
47025,"Claiborne County, Tennessee",7168,23.6
47027,"Clay County, Tennessee",2026,26.7
47029,"Cocke County, Tennessee",8700,24.9
47031,"Coffee County, Tennessee",7624,14.1
47033,"Crockett County, Tennessee",2745,19.3
47035,"Cumberland County, Tennessee",8782,15.2
47037,"Davidson County, Tennessee",108515,16.4
47039,"Decatur County, Tennessee",2228,19.4
47041,"DeKalb County, Tennessee",3364,17.5
47043,"Dickson County, Tennessee",7333,14.3
47045,"Dyer County, Tennessee",6806,18.5
47047,"Fayette County, Tennessee",5449,13.9
47049,"Fentress County, Tennessee",3855,21.8
47051,"Franklin County, Tennessee",5841,14.8
47053,"Gibson County, Tennessee",8201,17.1
47055,"Giles County, Tennessee",4162,14.7
47057,"Grainger County, Tennessee",4210,18.5
47059,"Greene County, Tennessee",11299,17
47061,"Grundy County, Tennessee",3184,24.3
47063,"Hamblen County, Tennessee",12129,19.5
47065,"Hamilton County, Tennessee",47360,13.7
47067,"Hancock County, Tennessee",1647,25.8
47069,"Hardeman County, Tennessee",4521,20.8
47071,"Hardin County, Tennessee",5191,20.5
47073,"Hawkins County, Tennessee",10543,19
47075,"Haywood County, Tennessee",3445,19.6
47077,"Henderson County, Tennessee",5331,19.4
47079,"Henry County, Tennessee",6290,19.8
47081,"Hickman County, Tennessee",4160,18.1
47083,"Houston County, Tennessee",1266,15.9
47085,"Humphreys County, Tennessee",3230,18
47087,"Jackson County, Tennessee",2241,19.7
47089,"Jefferson County, Tennessee",7169,14
47091,"Johnson County, Tennessee",3713,23.5
47093,"Knox County, Tennessee",67732,15.2
47095,"Lake County, Tennessee",1268,26.9
47097,"Lauderdale County, Tennessee",5242,22.3
47099,"Lawrence County, Tennessee",8029,19
47101,"Lewis County, Tennessee",2385,20.3
47103,"Lincoln County, Tennessee",5280,15.9
47105,"Loudon County, Tennessee",6105,11.9
47107,"McMinn County, Tennessee",10077,19.6
47109,"McNairy County, Tennessee",5280,20.7
47111,"Macon County, Tennessee",4119,17.9
47113,"Madison County, Tennessee",18238,19.4
47115,"Marion County, Tennessee",5084,18.2
47117,"Marshall County, Tennessee",4661,14.7
47119,"Maury County, Tennessee",10986,12.4
47121,"Meigs County, Tennessee",1980,17
47123,"Monroe County, Tennessee",8650,19.3
47125,"Montgomery County, Tennessee",26016,13.5
47127,"Moore County, Tennessee",492,7.9
47129,"Morgan County, Tennessee",4093,22
47131,"Obion County, Tennessee",6814,22.7
47133,"Overton County, Tennessee",3687,17
47135,"Perry County, Tennessee",2347,30.3
47137,"Pickett County, Tennessee",862,17.2
47139,"Polk County, Tennessee",2709,16.4
47141,"Putnam County, Tennessee",14310,19.5
47143,"Rhea County, Tennessee",6901,21.9
47145,"Roane County, Tennessee",7838,15
47147,"Robertson County, Tennessee",7923,11.6
47149,"Rutherford County, Tennessee",35604,11.8
47151,"Scott County, Tennessee",4799,22.3
47153,"Sequatchie County, Tennessee",2410,16.6
47155,"Sevier County, Tennessee",14281,15
47157,"Shelby County, Tennessee",189641,20.6
47159,"Smith County, Tennessee",2858,14.9
47161,"Stewart County, Tennessee",2159,16.5
47163,"Sullivan County, Tennessee",25670,16.6
47165,"Sumner County, Tennessee",16833,9.5
47167,"Tipton County, Tennessee",8432,13.9
47169,"Trousdale County, Tennessee",1458,15.9
47171,"Unicoi County, Tennessee",3653,21.1
47173,"Union County, Tennessee",4096,21.6
47175,"Van Buren County, Tennessee",1060,19
47177,"Warren County, Tennessee",9103,22.9
47179,"Washington County, Tennessee",19210,15.7
47181,"Wayne County, Tennessee",2853,19.6
47183,"Weakley County, Tennessee",6253,20.2
47185,"White County, Tennessee",4542,17.4
47187,"Williamson County, Tennessee",9474,4.3
47189,"Wilson County, Tennessee",10674,8.2